date,hospitalizations,hospitalizations_lag_3,average_stay_lag_3,deaths_lag_3,mortality_rate_lag_3,hospitalizations_lag_3_12m_window,average_stay_lag_3_12m_window,deaths_lag_3_12m_window,mortality_rate_lag_3_12m_window
2001-12,4147,3935,6.3,237,6.02,4169.916666666667,6.0,252.75,6.033333333333334
2002-01,4251,3999,6.0,306,7.65,4137.5,5.9750000000000005,255.33333333333334,6.1483333333333325
2002-02,4055,4113,6.1,242,5.88,4119.5,5.9750000000000005,254.0,6.141666666666667
2002-03,3749,4147,6.0,246,5.93,4109.583333333333,5.966666666666666,254.33333333333334,6.163333333333333
2002-04,4087,4251,5.8,246,5.79,4127.833333333333,5.958333333333333,256.6666666666667,6.195
2002-05,4125,4055,5.9,242,5.97,4141.75,5.966666666666666,258.75,6.2275
2002-06,4193,3749,5.7,236,6.3,4149.333333333333,5.958333333333333,263.75,6.351666666666667
2002-07,4558,4087,5.7,250,6.12,4154.75,5.95,263.25,6.331666666666667
2002-08,4768,4125,6.0,248,6.01,4137.5,5.933333333333333,261.4166666666667,6.313333333333333
2002-09,4291,4193,6.0,306,7.3,4136.833333333333,5.95,264.4166666666667,6.385833333333334
2002-10,4098,4558,6.0,325,7.13,4153.666666666667,5.966666666666666,266.9166666666667,6.415833333333333
2002-11,4366,4768,6.2,354,7.42,4165.0,5.9750000000000005,269.8333333333333,6.46
2002-12,4126,4291,6.1,315,7.34,4194.666666666667,5.958333333333333,276.3333333333333,6.57
2003-01,4246,4098,6.1,281,6.86,4202.916666666667,5.966666666666666,274.25,6.504166666666667
2003-02,3983,4366,6.2,288,6.6,4224.0,5.9750000000000005,278.0833333333333,6.564166666666666
2003-03,3848,4126,6.0,284,6.88,4222.25,5.9750000000000005,281.25,6.6433333333333335
2003-04,3878,4246,5.9,284,6.69,4221.833333333333,5.983333333333334,284.4166666666667,6.718333333333333
2003-05,4126,3983,5.7,259,6.5,4215.833333333333,5.966666666666666,285.8333333333333,6.762499999999999
2003-06,4142,3848,5.7,226,5.87,4224.083333333333,5.966666666666666,285.0,6.726666666666667
2003-07,3997,3878,5.9,258,6.65,4206.666666666667,5.983333333333334,285.6666666666667,6.770833333333333
2003-08,4041,4126,5.8,284,6.88,4206.75,5.966666666666668,288.6666666666667,6.843333333333334
2003-09,4242,4142,6.2,356,8.59,4202.5,5.983333333333333,292.8333333333333,6.950833333333333
2003-10,4172,3997,6.0,301,7.53,4155.75,5.983333333333334,290.8333333333333,6.984166666666667
2003-11,4081,4041,6.1,332,8.22,4095.1666666666665,5.9750000000000005,289.0,7.050833333333333
2003-12,4404,4242,6.3,340,8.02,4091.0833333333335,5.991666666666666,291.0833333333333,7.107500000000001
2004-01,4170,4172,6.0,342,8.2,4097.25,5.983333333333333,296.1666666666667,7.219166666666666
2004-02,3660,4081,6.0,309,7.57,4073.5,5.966666666666666,297.9166666666667,7.3
2004-03,3985,4404,6.3,288,6.54,4096.666666666667,5.991666666666667,298.25,7.271666666666667
2004-04,3554,4170,6.0,275,6.59,4090.3333333333335,6.0,297.5,7.2633333333333345
2004-05,3840,3660,5.8,251,6.86,4063.4166666666665,6.008333333333334,296.8333333333333,7.293333333333334
2004-06,4020,3985,6.5,250,6.27,4074.8333333333335,6.075,298.8333333333333,7.326666666666667
2004-07,4093,3554,6.0,242,6.81,4047.8333333333335,6.083333333333333,297.5,7.34
2004-08,4098,3840,6.1,263,6.85,4024.0,6.108333333333333,295.75,7.3374999999999995
2004-09,4040,4020,6.3,343,8.53,4013.8333333333335,6.116666666666666,294.6666666666667,7.3325
2004-10,3986,4093,6.4,344,8.4,4021.8333333333335,6.1499999999999995,298.25,7.405
2004-11,4087,4098,6.2,379,9.25,4026.5833333333335,6.158333333333334,302.1666666666667,7.490833333333334
2004-12,4044,4040,6.4,333,8.24,4009.75,6.166666666666667,301.5833333333333,7.509166666666666
2005-01,3898,3986,6.5,298,7.48,3994.25,6.208333333333333,297.9166666666667,7.449166666666667
2005-02,3692,4087,6.5,309,7.56,3994.75,6.25,297.9166666666667,7.448333333333334
2005-03,3543,4044,6.2,248,6.13,3964.75,6.241666666666666,294.5833333333333,7.414166666666667
2005-04,3959,3898,6.0,249,6.39,3942.0833333333335,6.241666666666667,292.4166666666667,7.3975
2005-05,3842,3692,5.8,239,6.47,3944.75,6.241666666666666,291.4166666666667,7.364999999999999
2005-06,3997,3543,6.2,242,6.83,3907.9166666666665,6.216666666666666,290.75,7.411666666666666
2005-07,4085,3959,5.9,263,6.64,3941.6666666666665,6.208333333333333,292.5,7.3975
2005-08,4261,3842,6.0,280,7.29,3941.8333333333335,6.2,293.9166666666667,7.434166666666667
2005-09,3548,3997,6.3,260,6.5,3939.9166666666665,6.2,287.0,7.265000000000001
2005-10,3523,4085,6.2,309,7.56,3939.25,6.183333333333334,284.0833333333333,7.194999999999999
2005-11,3367,4261,6.4,382,8.97,3952.8333333333335,6.199999999999999,284.3333333333333,7.171666666666667
2005-12,3661,3548,6.4,314,8.85,3911.8333333333335,6.2,282.75,7.2225
2006-01,3537,3523,6.5,305,8.66,3873.25,6.2,283.3333333333333,7.320833333333333
2006-02,3353,3367,6.2,241,7.16,3813.25,6.175000000000001,277.6666666666667,7.287499999999999
