date,heat_index,heat_index_sum,heat_index_std,heat_index99,heat_index95,temperature_mean,temperature_max,temperature_min,wind_speed_mean,humidity_mean,lag_heat_index_1,lag_heat_index_2,lag_heat_index_3
2003-07,14.26728494623656,10614.86,4.933060240042295,27.049600000000016,22.666500000000003,14.646370967741936,30.3,3.3,1.3561827956989247,79.3010752688172,16.736458333333335,17.269610215053763,20.352458333333335
2003-08,13.477849462365592,10027.52,5.034929240995367,27.51690000000001,23.267000000000014,14.135483870967741,29.9,3.7,1.5862903225806453,71.90725806451613,14.26728494623656,16.736458333333335,17.269610215053763
2003-09,15.617972222222223,11244.94,5.187907524009042,29.09209999999998,24.36049999999999,16.060555555555556,33.8,6.0,1.8365277777777778,73.33472222222223,13.477849462365592,14.26728494623656,16.736458333333335
2003-10,19.982567204301077,14867.03,5.0109918743489406,33.12690000000001,28.7655,20.08239247311828,35.0,8.1,1.9388440860215055,69.6989247311828,15.617972222222223,13.477849462365592,14.26728494623656
2003-11,21.92163888888889,15783.58,4.90921617266118,33.7267,29.882499999999997,21.878888888888888,35.1,9.9,1.9054166666666668,67.18611111111112,19.982567204301077,15.617972222222223,13.477849462365592
2003-12,22.77959677419355,16948.02,3.7313415004586186,31.03,29.421000000000003,22.586693548387096,31.8,12.9,2.0928763440860214,68.70295698924731,21.92163888888889,19.982567204301077,15.617972222222223
2004-01,25.150564516129034,18712.02,4.260571392515053,35.3156,33.011,24.509408602150536,34.7,15.2,1.9595430107526883,70.14650537634408,22.77959677419355,21.92163888888889,19.982567204301077
2004-02,23.91218390804598,16642.88,3.731455418496898,32.848499999999994,30.895,23.539511494252874,32.8,16.3,1.6487068965517242,69.4985632183908,25.150564516129034,22.77959677419355,21.92163888888889
2004-03,23.282379032258063,17322.09,3.800598856458791,32.68400000000001,30.401000000000007,22.990860215053765,34.3,15.5,2.0676075268817202,70.28225806451613,23.91218390804598,25.150564516129034,22.77959677419355
2004-04,22.20975,15991.02,5.109005596491274,33.541,31.472999999999995,21.9675,33.9,10.6,1.54625,71.35,23.282379032258063,23.91218390804598,25.150564516129034
2004-05,15.797849462365592,11753.6,3.51938820679402,22.815600000000003,21.747000000000007,16.086827956989247,25.4,6.7,1.5655913978494622,78.38978494623656,22.20975,23.282379032258063,23.91218390804598
2004-06,15.599097222222223,11231.35,4.811147075249963,27.778100000000002,24.162499999999998,15.847638888888888,29.0,3.0,1.1123611111111111,79.90833333333333,15.797849462365592,22.20975,23.282379032258063
2004-07,13.255053763440861,9861.76,5.141464538573852,27.035700000000002,21.575000000000003,13.81491935483871,28.8,3.0,1.4463709677419354,75.71908602150538,15.599097222222223,15.797849462365592,22.20975
2004-08,14.829543010752689,11033.18,5.009086742387678,28.195200000000018,23.259500000000003,15.29489247311828,30.8,5.4,1.1975806451612903,74.7741935483871,13.255053763440861,15.599097222222223,15.797849462365592
2004-09,18.336833333333335,13202.52,4.9148514367517535,34.0081,28.134999999999994,18.461805555555557,36.4,7.9,1.8004166666666666,76.56666666666666,14.829543010752689,13.255053763440861,15.599097222222223
2004-10,18.358010752688173,13658.36,4.336203296140095,28.731300000000005,25.37,18.64206989247312,31.3,9.7,1.7443548387096774,68.97311827956989,18.336833333333335,14.829543010752689,13.255053763440861
2004-11,20.819319444444446,14989.91,4.269798679109127,32.068599999999996,28.774499999999996,20.745555555555555,33.2,10.6,1.6465277777777778,72.70138888888889,18.358010752688173,18.336833333333335,14.829543010752689
2004-12,23.101720430107527,17187.68,4.113484407104994,33.72120000000001,30.915000000000003,22.908198924731185,35.0,15.6,2.1958333333333333,67.26478494623656,20.819319444444446,18.358010752688173,18.336833333333335
2005-01,26.134381720430106,19443.98,5.061535645397057,38.53310000000004,34.5135,25.494354838709675,39.0,14.5,1.883736559139785,65.31317204301075,23.101720430107527,20.819319444444446,18.358010752688173
2005-02,24.89578869047619,16729.97,3.922648057423129,34.28149999999999,31.978999999999996,24.380059523809525,34.0,17.5,1.9489583333333333,70.26785714285714,26.134381720430106,23.101720430107527,20.819319444444446
2005-03,23.946263440860214,17816.02,4.1809732155032835,35.73820000000001,32.388,23.631720430107528,37.3,16.1,1.777284946236559,70.54569892473118,24.89578869047619,26.134381720430106,23.101720430107527
2005-04,20.407625,14693.49,4.927446087942788,37.75459999999997,28.171499999999973,20.131944444444443,35.2,10.8,1.2573611111111112,79.35833333333333,23.946263440860214,24.89578869047619,26.134381720430106
2005-05,18.63454301075269,13864.1,3.723048369053115,28.63310000000004,24.5685,18.568951612903223,30.8,8.8,0.9615591397849462,81.83333333333333,20.407625,23.946263440860214,24.89578869047619
2005-06,18.22825,13124.34,4.781277928550248,29.034799999999997,27.212,18.19888888888889,28.9,6.6,0.9829166666666668,81.05,18.63454301075269,20.407625,23.946263440860214
2005-07,14.505067204301076,10791.77,5.946672797247485,29.566900000000008,25.619500000000002,14.98521505376344,31.7,2.3,1.3079301075268817,74.63172043010752,18.22825,18.63454301075269,20.407625
2005-08,16.442567204301074,12233.27,5.099174529643815,28.965700000000002,27.265000000000004,16.773521505376344,30.6,6.6,1.6,75.24596774193549,14.505067204301076,18.22825,18.63454301075269
2005-09,15.030624999999999,10822.05,4.340808686626757,26.559899999999956,22.7215,15.433194444444444,27.1,5.3,1.9423611111111112,76.30694444444444,16.442567204301074,14.505067204301076,18.22825
2005-10,18.881344086021503,14047.72,4.13171628782284,31.038400000000006,27.925000000000008,18.896639784946238,32.3,9.4,1.828763440860215,76.3252688172043,15.030624999999999,16.442567204301074,14.505067204301076
2005-11,21.988569444444444,15831.77,5.445525249098052,34.7267,31.54999999999999,22.03736111111111,36.6,8.7,1.8755555555555556,65.12083333333334,18.881344086021503,15.030624999999999,16.442567204301074
2005-12,22.886706989247312,17027.71,4.234056315529299,33.53980000000001,30.37,22.81088709677419,34.9,12.4,1.9954301075268817,64.65591397849462,21.988569444444444,18.881344086021503,15.030624999999999
2006-01,26.385497311827958,19630.81,5.13452757055658,40.851400000000005,37.195,25.32715053763441,38.1,17.8,1.585483870967742,72.34005376344086,22.886706989247312,21.988569444444444,18.881344086021503
2006-02,24.966488095238095,16777.48,3.9770061367916703,35.68689999999997,32.007999999999996,24.273065476190474,34.5,17.1,1.733482142857143,71.94494047619048,26.385497311827958,22.886706989247312,21.988569444444444
