date,hospitalizations,hospitalizations_lag_3,average_stay_lag_3,deaths_lag_3,mortality_rate_lag_3,hospitalizations_lag_3_12m_window,average_stay_lag_3_12m_window,deaths_lag_3_12m_window,mortality_rate_lag_3_12m_window,heat_index,heat_index_sum,heat_index_std,heat_index99,heat_index95,temperature_mean,temperature_max,temperature_min,wind_speed_mean,humidity_mean,lag_heat_index_1,lag_heat_index_2,lag_heat_index_3
2008-01-01,2668.0,4018.0,6.2,329.0,8.19,3727.6666666666665,6.141666666666667,314.8333333333333,8.3925,24.784825268817205,18439.91,4.20387601980429,35.5814,32.83,24.280779569892477,37.1,15.7,1.9790322580645163,68.31720430107526,24.26415322580645,20.052375,20.7427688172043
2008-02-01,4009.0,3707.0,6.0,277.0,7.47,3705.0833333333335,6.116666666666666,313.0833333333333,8.390833333333333,24.250215517241383,16878.15,3.874663998924892,33.37649999999999,31.3075,23.707183908045977,33.7,14.7,1.7748563218390805,73.18103448275862,24.784825268817205,24.26415322580645,20.052375
2008-03-01,3771.0,3715.0,6.1,304.0,8.18,3726.9166666666665,6.091666666666668,316.8333333333333,8.4475,24.085940860215054,17919.94,3.915914958410677,33.8071,31.48,23.60470430107527,33.6,16.5,1.6509408602150537,71.92204301075269,24.250215517241383,24.784825268817205,24.26415322580645
2008-04-01,3758.0,2668.0,5.4,141.0,5.28,3660.5,6.066666666666666,308.1666666666667,8.298333333333334,19.666125,14159.61,4.453565821225916,30.1881,27.3725,19.701527777777777,33.0,7.5,1.2329166666666669,74.5625,24.085940860215054,24.250215517241383,24.784825268817205
2008-05-01,3501.0,4009.0,6.2,306.0,7.63,3714.3333333333335,6.108333333333333,312.6666666666667,8.31,16.54822580645161,12311.88,5.470999654985487,30.06,27.6245,16.773118279569893,30.8,3.7,1.3774193548387097,76.51209677419355,19.666125,24.085940860215054,24.250215517241383
2008-06-01,3606.0,3771.0,5.9,283.0,7.5,3732.0,6.091666666666668,314.1666666666667,8.314166666666667,12.34361111111111,8887.4,3.980427848473074,19.5443,17.970499999999998,12.841944444444444,21.7,2.4,1.2956944444444445,81.83333333333333,16.54822580645161,19.666125,24.085940860215054
2008-07-01,3925.0,3758.0,6.0,265.0,7.05,3755.9166666666665,6.108333333333334,313.8333333333333,8.255833333333333,15.93252688172043,11853.8,3.761079075683324,26.7828,23.8685,16.168010752688172,27.6,6.9,1.2702956989247312,79.97715053763442,12.34361111111111,16.54822580645161,19.666125
2008-08-01,3772.0,3501.0,5.8,251.0,7.17,3746.0833333333335,6.091666666666668,311.3333333333333,8.206666666666667,14.927258064516128,11105.88,4.443768332606725,25.9685,22.379500000000007,15.3247311827957,28.2,4.3,1.5838709677419356,76.90725806451613,15.93252688172043,12.34361111111111,16.54822580645161
2008-09-01,3715.0,3606.0,6.2,347.0,9.62,3719.5,6.091666666666668,306.5,8.148333333333332,15.300777777777776,11016.56,4.503417611879683,27.208199999999987,23.2315,15.750555555555556,31.1,7.3,1.9638888888888888,73.79166666666667,14.927258064516128,15.93252688172043,12.34361111111111
2008-10-01,3991.0,3925.0,6.2,366.0,9.32,3721.25,6.075,301.0833333333333,8.005,18.962889784946235,14108.39,3.87505319495678,30.29370000000002,25.5355,19.0,32.8,7.6,1.827016129032258,76.13440860215054,15.300777777777776,14.927258064516128,15.93252688172043
